		12.5fmol_C1	12.5fmol_C10	12.5fmol_C2	12.5fmol_C3	12.5fmol_C4	12.5fmol_C5	12.5fmol_C8	12.5fmol_C9	12.5fmol_Ro	25fmol_semtumor_S09	25fmol_semtumor_S36	25fmol_semtumor_S40	25fmol_semtumor_S49	25fmol_semtumor_S55	25fmol_semtumor_S57	25fmol_semtumor_S61	25fmol_semtumor_S64	25fmol_semtumor_S68	25fmol_semtumor_T16	50fmol_T1T2_S17	50fmol_T1T2_S57	50fmol_T1T2_S77	50fmol_T1T2_S78	50fmol_T1T2_S79	50fmol_T1T2_T12	50fmol_T1T2_T20	50fmol_T1T2_T22	50fmol_T1T2_T23
P01008_SERPINC1	P01008_SERPINC1	22.49543	21.07894	21.25448	21.19508	20.99521	0	21.78449	21.27566	22.5331	22.65594	24.63727	23.29376	21.67349	22.39016	22.91105	22.89676	21.92125	22.77117	22.94926	23.6871	23.49753	23.2111	22.93265	22.38087	22.63358	23.04848	20.89556	23.53255
P01859_IGHG2	P01859_IGHG2	25.64749	26.60597	25.97073	24.91306	27.0403	26.33887	27.04833	26.83074	26.2851	28.41203	29.06723	29.59746	27.27044	28.58219	27.376	27.82287	26.4993	27.62352	27.80809	27.27932	28.40629	28.53241	25.48732	26.63464	26.99086	25.36383	28.88064	27.6977
P05386_RPLP1	P05386_RPLP1	21.92107	21.1561	22.07516	22.66564	22.0415	19.35595	20.74057	18.79383	18.88178	0	0	18.23953	0	19.39563	0	0	18.25308	20.35434	18.78056	20.81488	22.4881	18.19801	0	18.9016	0	20.91678	19.73486	0
P07339_CTSD	P07339_CTSD	22.84556	23.36078	23.1897	22.83134	23.63012	22.84946	21.72538	23.37981	24.04827	19.86558	20.17682	20.78684	22.68436	0	22.29089	22.57496	21.4957	24.23951	20.67185	21.77929	22.32254	22.33274	21.91313	23.03329	21.74763	21.83507	22.54406	21.02371
A0A087WVW2_IGHG3	A0A087WVW2_IGHG3	24.88832	26.17986	25.51208	24.54251	26.24291	25.59118	26.283	26.49283	26.36281	26.85614	30.05038	29.65403	26.23429	27.62582	28.13448	28.47896	26.13338	27.35976	27.17016	27.05703	28.48443	27.77147	25.4688	25.35975	26.54572	26.00928	26.60272	27.3554
P01024_C3	P01024_C3	25.2753	26.33458	24.91971	24.88851	25.85538	24.29817	26.19627	25.92034	26.48904	26.91251	28.17422	26.37372	26.82177	27.053	27.42254	26.84995	25.93222	26.67761	27.935	28.7888	27.25377	27.93613	25.18439	25.16446	27.22214	26.01555	26.9651	25.51337
B7Z6Z4_MYL6	B7Z6Z4_MYL6	23.7686	24.39637	23.94905	25.52731	24.40626	22.02979	24.15846	23.88697	25.93885	21.90349	22.07803	24.47698	23.13377	23.49412	21.31562	20.30285	23.28673	22.90261	22.70271	23.7168	24.64334	22.46576	21.81585	21.75103	0	21.70151	23.47655	0
D6RF35_GC	D6RF35_GC	24.1027	24.75797	22.79148	26.23911	24.7454	24.7686	25.10605	24.46058	25.22751	27.0258	28.25939	26.24532	24.19558	26.20918	26.82505	25.12786	25.48056	26.52246	26.8629	26.84182	26.71175	26.02011	24.9032	22.86948	26.00569	25.96495	25.46058	26.18128
CON__P00761	CON__P00761	32.29195	30.59174	31.28135	30.33383	30.70849	32.30452	31.39596	31.62745	31.14407	31.90013	30.18021	30.56484	30.80101	30.72907	30.08917	31.22389	30.73513	29.61205	30.53631	31.92153	30.21732	31.55728	32.30021	32.39573	32.7031	32.0842	31.50043	31.55723
Q9NQ38-3_SPINK5	Q9NQ38-3_SPINK5	22.821	22.5191	23.77364	24.19806	23.4339	23.51039	23.6871	23.24259	22.78205	0	22.16156	0	22.72109	20.07679	22.17103	21.82714	22.9954	22.90733	21.97712	0	22.42668	21.56742	22.8179	22.71614	0	24.59895	21.10194	23.45626
