"","rank","freq","gene","avg_cv_acc_after_nsc"
"95",95,3,NA,0.333333333333333
"96",96,3,NA,0.5
"97",97,3,NA,0.833333333333333
"98",98,3,NA,0.333333333333333
"99",99,3,NA,0.5
"100",100,3,NA,0.333333333333333
"101",101,3,NA,0.666666666666667
"102",102,3,NA,0.5
"103",103,3,NA,0.666666666666667
"104",104,3,NA,0.4
"105",105,3,NA,0.6
"106",106,3,NA,0.333333333333333
"107",107,3,NA,0.6
"108",108,3,NA,0.333333333333333
"109",109,3,NA,0.5
"110",110,3,NA,0.5
"111",111,3,NA,0.5
"112",112,3,NA,0.5
"113",113,3,NA,0.666666666666667
"114",114,3,NA,0.8
"115",115,3,NA,0.833333333333333
"116",116,3,NA,0.666666666666667
"117",117,3,NA,0.4
"118",118,3,NA,0.833333333333333
"119",119,3,NA,0.4
"120",120,3,NA,0.5
"121",121,3,NA,0.666666666666667
"122",122,3,NA,0.5
"123",123,3,NA,0.833333333333333
"124",124,3,NA,0.4
"125",125,3,NA,0.5
"126",126,3,NA,0.8
"127",127,3,NA,0.333333333333333
"128",128,3,NA,0.666666666666667
"129",129,3,NA,0.5
"130",130,3,NA,0.666666666666667
"131",131,3,NA,0.833333333333333
"132",132,3,NA,0.5
"133",133,3,NA,0.333333333333333
"134",134,3,NA,0.6
"135",135,3,NA,0.4
"136",136,3,NA,0.333333333333333
"137",137,3,NA,0.5
"138",138,3,NA,0.666666666666667
"139",139,3,NA,0.4
"140",140,3,NA,0.333333333333333
"141",141,3,NA,0.6
"142",142,3,NA,0.5
"143",143,3,NA,0.333333333333333
"144",144,3,NA,0.5
"145",145,3,NA,0.5
"146",146,3,NA,0.4
"147",147,3,NA,0.5
"148",148,3,NA,0.5
"149",149,3,NA,0.5
"150",150,3,NA,0.8
"151",151,3,NA,0.5
"152",152,3,NA,0.833333333333333
"153",153,3,"X50fmol_T1T2_T22",0.4
"154",154,3,"X50fmol_T1T2_S78",0.5
"155",155,3,"X50fmol_T1T2_S77",0.5
"156",156,3,"X50fmol_T1T2_S17",0.666666666666667
"157",157,3,"X25fmol_semtumor_S61",0.6
"158",158,3,"X25fmol_semtumor_S55",0.4
"159",159,3,"X25fmol_semtumor_S36",0.666666666666667
"160",160,3,"X12.5fmol_C9",0.6
"161",161,3,"X12_5fmol_C4",0.333333333333333
"162",162,3,"X12.5fmol_C3",0.2
"163",163,3,"X12_5fmol_C2",0.6
"164",164,2,NA,0.4
"165",165,2,NA,0.333333333333333
"166",166,2,NA,0.166666666666667
"167",167,2,NA,0.666666666666667
"168",168,2,NA,0.6
"169",169,2,NA,0.6
"170",170,2,NA,0.6
"171",171,2,NA,0.833333333333333
"172",172,2,NA,0.666666666666667
"173",173,2,NA,0.5
"174",174,2,NA,0.6
"175",175,2,NA,0.5
"176",176,2,NA,0.4
"177",177,2,NA,0.833333333333333
"178",178,2,NA,0.5
"179",179,2,NA,0.5
"180",180,2,NA,0.2
"181",181,2,NA,0.666666666666667
"182",182,2,NA,0.666666666666667
"183",183,2,NA,0.6
"184",184,2,NA,0.5
"185",185,2,NA,0.4
"186",186,2,NA,0.666666666666667
"187",187,2,NA,0.666666666666667
"188",188,2,NA,0.666666666666667
"189",189,2,NA,0.333333333333333
"190",190,2,NA,0.666666666666667
"191",191,2,NA,0.333333333333333
"192",192,2,NA,0.333333333333333
"193",193,2,NA,0.25
"194",194,2,NA,0.333333333333333
"195",195,2,NA,0.333333333333333
"196",196,2,NA,0.833333333333333
"197",197,2,NA,0.4
"198",198,2,NA,0.5
"199",199,2,NA,0.333333333333333
"200",200,2,NA,0.5
"201",201,2,NA,0.4
"202",202,2,"X50fmol_T1T2_S57",0.4
"203",203,2,"X25fmol_semtumor_T16",0.5
"204",204,2,"X12.5fmol_C5",0.5
"205",205,1,NA,0.5
"206",206,1,NA,0.666666666666667
"207",207,1,NA,0.5
"208",208,1,NA,0.833333333333333
"209",209,1,NA,0.5
"210",210,1,NA,0.333333333333333
"211",211,1,NA,0.333333333333333
"212",212,1,NA,0.6
"213",213,1,NA,0.166666666666667
"214",214,1,NA,0.5
"215",215,1,NA,0.6
"216",216,1,NA,0.333333333333333
"217",217,1,NA,0.333333333333333
"218",218,1,NA,0.2
"219",219,1,NA,0.666666666666667
"220",220,1,NA,0.4
"221",221,1,NA,0.333333333333333
"222",222,1,NA,0.166666666666667
"223",223,1,NA,0.5
"224",224,1,NA,0.2
"225",225,1,NA,0.666666666666667
"226",226,1,NA,0.5
"227",227,1,NA,0.666666666666667
"228",228,1,NA,0.333333333333333
"229",229,1,NA,0.2
"230",230,1,NA,0.5
"231",231,1,NA,0.6
"232",232,1,NA,0.25
"233",233,1,NA,0.5
"234",234,1,NA,0.666666666666667
"235",235,1,NA,0.6
"236",236,1,NA,0.333333333333333
"237",237,1,NA,0.333333333333333
"238",238,1,"X50fmol_T1T2_S79",0.5
"239",239,1,"X25fmol_semtumor_S57",0.333333333333333
"240",240,1,"X25fmol_semtumor_S49",0.5
"241",241,0,NA,0.4
"242",242,0,NA,0
"243",243,0,NA,0.333333333333333
"244",244,0,NA,0.333333333333333
"245",245,0,NA,0.5
"246",246,0,NA,0.6
"247",247,0,NA,0.5
"248",248,0,NA,0.666666666666667
"249",249,0,NA,0.6
"250",250,0,NA,0.5
"251",251,0,NA,0
"252",252,0,NA,0.6
"253",253,0,NA,0.5
"254",254,0,NA,0.2
"255",255,0,NA,0.2
"256",256,0,NA,0.4
"257",257,0,NA,0.5
"258",258,0,NA,0.2
"259",259,0,NA,0.5
"260",260,0,NA,0.4
"261",261,0,NA,0.6
"262",262,0,NA,0.4
"263",263,0,NA,0.333333333333333
"264",264,0,NA,0.6
"265",265,0,NA,0.666666666666667
"266",266,0,NA,0.5
"267",267,0,NA,0.166666666666667
"268",268,0,NA,0.666666666666667
"269",269,0,NA,0.166666666666667
"270",270,0,NA,0.2
"271",271,0,NA,0.6
"272",272,0,NA,0.166666666666667
"273",273,0,NA,0.5
"274",274,0,NA,0.5
"275",275,0,NA,0.2
"276",276,0,NA,0.666666666666667
"277",277,0,"X25fmol_semtumor_S64",0.4
"278",278,0,"X25fmol_semtumor_S40",0.5
"279",279,0,"X25fmol_semtumor_S09",0.333333333333333
"280",280,0,"X12.5fmol_Ro",0.6
"281",281,0,"X12.5fmol_C10",0.5
