protein,complete_train_p_value,total_freq,p-value_orig_vs_random,original,original,original,original,original,original,original,original,permuted,permuted,permuted,permuted,permuted,permuted,permuted,permuted
O75626_PRDM1        ,0.770755654962197   ,0                   ,0.381573905705021   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,89                  ,0                   ,0                   ,0                   
A0A087WX49_IGLL5    ,0.892026086111244   ,0                   ,0.381573905705021   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,908                 
A0A0A0MS15          ,0.47214186976215    ,59                  ,0.483017859492162   ,33                  ,2                   ,1                   ,0                   ,0                   ,6                   ,0                   ,17                  ,0                   ,308                 ,2                   ,0                   ,0                   ,34                  ,16                  ,242                 
A0A087WV47_IGHG1    ,0.0409418463016626  ,6686                ,0.00164901017853893 ,100                 ,465                 ,1342                ,112                 ,1218                ,2664                ,517                 ,268                 ,1                   ,0                   ,0                   ,184                 ,0                   ,1                   ,0                   ,0                   
A0A087WVN6          ,0.16330413916083    ,2328                ,0.195667742543642   ,101                 ,109                 ,0                   ,49                  ,69                  ,226                 ,39                  ,1735                ,390                 ,0                   ,0                   ,0                   ,0                   ,100                 ,0                   ,172                 
A0A087WW89          ,0.16873611107684    ,1113                ,0.00366954370436775 ,71                  ,268                 ,99                  ,15                  ,181                 ,4                   ,456                 ,19                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,108                 ,0                   
P06753_2_TPM3       ,0.600025874159563   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2                   ,0                   ,4                   ,0                   ,0                   ,0                   ,0                   ,216                 
Q9Y6R7_FCGBP        ,0.722707849980423   ,0                   ,0.00456930456922445 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3                   ,11                  ,9                   ,378                 ,326                 ,0                   ,0                   ,16                  
Q96KP4_CNDP2        ,0.842036732587951   ,1                   ,0.214338459316668   ,0                   ,0                   ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,90                  ,276                 ,0                   ,7                   ,0                   ,0                   ,0                   
A0A087WZH9          ,0.0694990697278968  ,3628                ,0.000681956324259307,167                 ,788                 ,52                  ,1306                ,234                 ,407                 ,606                 ,68                  ,0                   ,0                   ,0                   ,0                   ,25                  ,0                   ,0                   ,2                   
A0A087WZM2_RNASET2  ,0.0525352210283686  ,6513                ,0.00361948715408272 ,208                 ,696                 ,1304                ,134                 ,389                 ,2906                ,106                 ,770                 ,0                   ,0                   ,0                   ,0                   ,12                  ,31                  ,129                 ,253                 
A0A087WZW8          ,0.365107252070236   ,81                  ,0.589744362208388   ,0                   ,0                   ,0                   ,0                   ,71                  ,0                   ,10                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,24                  
A0A087X130          ,0.598817696704215   ,0                   ,0.170903520230797   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,9                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   
A0A075B6P5          ,0.379311537268773   ,371                 ,0.660747896465815   ,40                  ,314                 ,7                   ,0                   ,0                   ,0                   ,10                  ,0                   ,871                 ,30                  ,0                   ,7                   ,20                  ,0                   ,12                  ,0                   
A0A087X2C0          ,0.219162086514513   ,411                 ,0.00366954370436775 ,16                  ,114                 ,150                 ,41                  ,48                  ,19                  ,6                   ,17                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,44                  ,0                   
Q06830_PRDX1        ,0.0616865605857511  ,5872                ,0.000675416378699592,450                 ,616                 ,385                 ,482                 ,450                 ,502                 ,2728                ,259                 ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,0                   ,17                  
P13797_PLS3         ,0.823177898063604   ,10                  ,1                   ,10                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,330                 ,0                   ,0                   ,0                   
A8K2U0_A2ML1        ,0.20342196745061    ,1301                ,0.000681956324259307,28                  ,38                  ,56                  ,521                 ,43                  ,159                 ,412                 ,44                  ,0                   ,0                   ,0                   ,0                   ,0                   ,12                  ,0                   ,25                  
P08670_VIM          ,0.552479656923252   ,82                  ,0.0764479298304189  ,2                   ,0                   ,24                  ,0                   ,56                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
P15153_RAC2         ,0.341165630112617   ,430                 ,0.831044293354607   ,21                  ,1                   ,0                   ,103                 ,2                   ,4                   ,130                 ,169                 ,277                 ,975                 ,0                   ,332                 ,4                   ,0                   ,0                   ,0                   
P09429_HMGB1        ,0.875399342195281   ,4                   ,0.589744362208388   ,0                   ,0                   ,0                   ,0                   ,4                   ,0                   ,0                   ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,535                 
B4E1Z4_CFB          ,0.0487531092594392  ,6310                ,0.000785338146016317,229                 ,422                 ,2330                ,565                 ,1110                ,514                 ,749                 ,391                 ,0                   ,4                   ,0                   ,46                  ,0                   ,139                 ,0                   ,0                   
B5MDF5_RAN          ,0.343189550312883   ,76                  ,0.574872695668895   ,18                  ,29                  ,0                   ,2                   ,15                  ,0                   ,12                  ,0                   ,1283                ,80                  ,0                   ,0                   ,0                   ,0                   ,0                   ,1                   
B7Z6Z4_MYL6         ,0.0432531650511754  ,6695                ,0.00100579901429894 ,1018                ,1486                ,218                 ,1809                ,1434                ,372                 ,222                 ,136                 ,0                   ,2                   ,0                   ,173                 ,0                   ,0                   ,0                   ,0                   
B7ZKJ8_ITIH4        ,0.039355695532268   ,7105                ,0.00114874154555318 ,797                 ,219                 ,1363                ,435                 ,2839                ,568                 ,478                 ,406                 ,0                   ,0                   ,0                   ,224                 ,0                   ,66                  ,15                  ,0                   
P40925_3_MDH1       ,0.694032754146228   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1336                ,47                  ,6                   
C9JC84_FGG          ,0.0673218041230379  ,3977                ,0.00146733786443442 ,1096                ,263                 ,648                 ,23                  ,161                 ,1423                ,335                 ,28                  ,0                   ,0                   ,6                   ,51                  ,0                   ,0                   ,0                   ,0                   
P19971_2_TYMP       ,0.937477280369351   ,0                   ,0.0324742023051656  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,50                  ,22                  ,0                   ,0                   ,26                  ,0                   ,109                 ,0                   
Q9UG63_2_ABCF2      ,0.0912902683478275  ,3699                ,0.0229215547738114  ,45                  ,87                  ,221                 ,1220                ,1827                ,36                  ,18                  ,245                 ,10                  ,323                 ,0                   ,0                   ,0                   ,3                   ,0                   ,115                 
P30838_ALDH3A1      ,0.115325356530278   ,1923                ,0.223710314986765   ,80                  ,3                   ,423                 ,568                 ,14                  ,40                  ,740                 ,55                  ,0                   ,117                 ,21                  ,1179                ,0                   ,150                 ,0                   ,0                   
C9JV77_AHSG         ,0.796236494975059   ,2                   ,0.0847449524226576  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2                   ,30                  ,95                  ,0                   ,91                  ,0                   ,0                   ,848                 ,0                   
CON__P00761         ,0.0306134498691383  ,8346                ,0.000675416378699592,755                 ,2669                ,990                 ,1533                ,755                 ,619                 ,462                 ,563                 ,4                   ,6                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
CON__P01966         ,0.761983950762207   ,0                   ,0.00453001005887719 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,24                  ,2                   ,0                   ,43                  ,255                 ,45                  ,2                   
CON__P02538_KRT6A   ,0.405385877339451   ,12                  ,0.224609812580164   ,0                   ,0                   ,1                   ,3                   ,1                   ,0                   ,7                   ,0                   ,0                   ,69                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
CON__P02768_1_ALB   ,0.11819407844062    ,2369                ,0.00100579901429894 ,17                  ,83                  ,1866                ,129                 ,12                  ,5                   ,201                 ,56                  ,1                   ,10                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
CON__P02769_ALB     ,3.49970954274809e-05,24304               ,0.000612376767377892,3136                ,2744                ,3136                ,3136                ,3136                ,3136                ,2744                ,3136                ,0                   ,42                  ,0                   ,733                 ,3                   ,0                   ,0                   ,11                  
CON__P08779_KRT16   ,0.123538504956696   ,973                 ,0.0267438779396603  ,125                 ,12                  ,125                 ,84                  ,7                   ,359                 ,258                 ,3                   ,12                  ,1                   ,0                   ,4                   ,234                 ,0                   ,6                   ,0                   
CON__P13645_KRT10   ,0.815210424336618   ,6                   ,0.488142933739699   ,0                   ,0                   ,0                   ,0                   ,6                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,306                 ,0                   ,144                 ,0                   
CON__P13646_1       ,0.376043178135308   ,72                  ,0.36542155791502    ,0                   ,0                   ,0                   ,34                  ,13                  ,4                   ,21                  ,0                   ,0                   ,2736                ,0                   ,0                   ,0                   ,0                   ,2                   ,0                   
CON__P13647_KRT5    ,0.250580230865494   ,514                 ,0.0402162497314597  ,80                  ,0                   ,0                   ,13                  ,98                  ,125                 ,198                 ,0                   ,0                   ,49                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
CON__P19013         ,0.0201998637860474  ,12188               ,0.000681956324259307,1311                ,1961                ,1922                ,2253                ,3076                ,525                 ,716                 ,424                 ,4                   ,0                   ,0                   ,48                  ,0                   ,0                   ,0                   ,0                   
CON__P35527_KRT9    ,0.528084796583339   ,91                  ,0.407774760622591   ,0                   ,0                   ,0                   ,0                   ,0                   ,91                  ,0                   ,0                   ,62                  ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,54                  
CON__P60712_ACTB    ,0.318552768115298   ,110                 ,0.225114315064885   ,28                  ,7                   ,0                   ,18                  ,57                  ,0                   ,0                   ,0                   ,1026                ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
CON__Q3MHH8         ,0.235338214842535   ,663                 ,0.418661378529244   ,0                   ,8                   ,82                  ,0                   ,393                 ,15                  ,160                 ,5                   ,0                   ,0                   ,89                  ,0                   ,13                  ,518                 ,4                   ,0                   
D6RF35_GC           ,0.0440367133831996  ,5909                ,0.00125114613728818 ,1296                ,506                 ,1120                ,621                 ,780                 ,229                 ,968                 ,389                 ,51                  ,338                 ,0                   ,1                   ,0                   ,0                   ,2                   ,0                   
E5RHG6_TBCA         ,0.0617738367941661  ,3539                ,0.00426900493803172 ,541                 ,322                 ,427                 ,722                 ,743                 ,284                 ,396                 ,104                 ,0                   ,0                   ,0                   ,473                 ,0                   ,13                  ,0                   ,0                   
E7EQR4_EZR          ,0.838737826671916   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,28                  ,0                   ,2                   ,0                   ,115                 ,0                   
P02788_LTF          ,0.552309545207818   ,4                   ,0.488142933739699   ,0                   ,0                   ,0                   ,4                   ,0                   ,0                   ,0                   ,0                   ,2159                ,0                   ,0                   ,140                 ,0                   ,0                   ,0                   ,0                   
E7EX29_YWHAZ        ,0.604235832271248   ,4                   ,0.164789311481716   ,0                   ,2                   ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,693                 ,3                   ,0                   ,0                   ,1576                ,0                   ,0                   ,4                   
P11413_2_G6PD       ,0.0716799039742358  ,4042                ,0.124998482350882   ,643                 ,1695                ,2                   ,976                 ,427                 ,264                 ,34                  ,1                   ,3105                ,89                  ,0                   ,225                 ,0                   ,0                   ,0                   ,48                  
Q9H0U4_RAB1B        ,0.0728404767484344  ,3615                ,0.0219109698020534  ,1351                ,760                 ,168                 ,252                 ,806                 ,59                  ,153                 ,66                  ,701                 ,3                   ,0                   ,0                   ,0                   ,0                   ,0                   ,589                 
P55786_NPEPPS       ,0.563745554467137   ,194                 ,0.822333756389101   ,2                   ,107                 ,84                  ,1                   ,0                   ,0                   ,0                   ,0                   ,636                 ,21                  ,0                   ,1                   ,0                   ,0                   ,324                 ,0                   
O00764_PDXK         ,0.234022102589349   ,302                 ,0.103826269338579   ,13                  ,62                  ,1                   ,5                   ,183                 ,0                   ,0                   ,38                  ,0                   ,0                   ,0                   ,274                 ,2                   ,0                   ,0                   ,0                   
P0C0L5_C4B          ,0.0226803863832738  ,11373               ,0.000681956324259307,730                 ,2744                ,3106                ,516                 ,973                 ,764                 ,1078                ,1462                ,0                   ,49                  ,0                   ,0                   ,0                   ,0                   ,0                   ,73                  
P22079_LPO          ,0.0649503849073007  ,5055                ,0.0164620142375873  ,1396                ,148                 ,1195                ,68                  ,1180                ,838                 ,21                  ,209                 ,5                   ,0                   ,0                   ,0                   ,0                   ,22                  ,0                   ,1869                
F5H5D3_TUBA1C       ,0.379800604068306   ,322                 ,0.0535024501087161  ,134                 ,0                   ,57                  ,1                   ,127                 ,3                   ,0                   ,0                   ,0                   ,12                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
Q14697_2_GANAB      ,0.0358773391376219  ,8516                ,0.0112746152015496  ,1078                ,1659                ,2354                ,1606                ,501                 ,675                 ,315                 ,328                 ,3081                ,0                   ,0                   ,0                   ,0                   ,0                   ,123                 ,0                   
P30040_ERP29        ,0.786772979613598   ,0                   ,0.381573905705021   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,12                  ,0                   ,0                   ,0                   ,0                   
P09382_LGALS1       ,0.373170953861611   ,236                 ,0.602524352361297   ,0                   ,0                   ,0                   ,173                 ,45                  ,18                  ,0                   ,0                   ,28                  ,0                   ,0                   ,1255                ,228                 ,0                   ,0                   ,1                   
Q8TD19_NEK9         ,0.000916149741749563,24304               ,0.000374312247108602,3136                ,2744                ,3136                ,3136                ,3136                ,3136                ,2744                ,3136                ,0                   ,0                   ,0                   ,613                 ,0                   ,0                   ,0                   ,0                   
P16070_CD44         ,0.290911118450852   ,231                 ,0.869274332765955   ,0                   ,0                   ,0                   ,11                  ,2                   ,2                   ,188                 ,28                  ,13                  ,0                   ,0                   ,0                   ,287                 ,149                 ,73                  ,0                   
P06576_ATP5B        ,0.567402851607691   ,4                   ,0.0402162497314597  ,0                   ,0                   ,0                   ,0                   ,0                   ,4                   ,0                   ,0                   ,0                   ,0                   ,0                   ,131                 ,13                  ,2                   ,474                 ,27                  
P00441_SOD1         ,0.0518986007271567  ,5752                ,0.039979602946257   ,2216                ,578                 ,473                 ,219                 ,81                  ,1091                ,732                 ,362                 ,3039                ,178                 ,2                   ,0                   ,0                   ,266                 ,0                   ,92                  
J3KPA1_CRISP3       ,0.167971365702297   ,1611                ,0.340987153381906   ,286                 ,0                   ,55                  ,72                  ,973                 ,22                  ,185                 ,18                  ,4                   ,0                   ,0                   ,1                   ,409                 ,0                   ,727                 ,78                  
P68431_HIST1H3A     ,0.323405583648882   ,225                 ,0.0127769927806436  ,16                  ,0                   ,36                  ,34                  ,137                 ,0                   ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
K7ELL7_PRKCSH       ,0.718291432017888   ,34                  ,0.214338459316668   ,34                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,652                 ,0                   ,0                   ,71                  ,0                   ,0                   ,1049                
O00299_CLIC1        ,0.629177641690091   ,62                  ,0.406552852098087   ,0                   ,6                   ,0                   ,0                   ,56                  ,0                   ,0                   ,0                   ,307                 ,0                   ,0                   ,231                 ,0                   ,0                   ,0                   ,584                 
O00391_QSOX1        ,0.12810643853843    ,1405                ,0.0513398264234592  ,73                  ,8                   ,428                 ,61                  ,59                  ,572                 ,171                 ,33                  ,1306                ,12                  ,0                   ,0                   ,53                  ,49                  ,0                   ,2                   
O15511_2_ARPC5      ,0.356658532864106   ,585                 ,0.0982172053914431  ,234                 ,45                  ,228                 ,9                   ,57                  ,9                   ,2                   ,1                   ,445                 ,149                 ,0                   ,0                   ,0                   ,0                   ,0                   ,4                   
O43707_ACTN4        ,0.00347862343899696 ,24261               ,0.000829521973642323,3136                ,2744                ,3136                ,3124                ,3136                ,3136                ,2719                ,3130                ,87                  ,0                   ,58                  ,39                  ,0                   ,0                   ,21                  ,425                 
O60888_2_CUTA       ,0.564187356446999   ,108                 ,0.451913458279073   ,2                   ,0                   ,0                   ,0                   ,4                   ,0                   ,102                 ,0                   ,0                   ,0                   ,1423                ,0                   ,46                  ,0                   ,12                  ,9                   
O75594_PGLYRP1      ,0.291447678504622   ,690                 ,1                   ,237                 ,18                  ,0                   ,218                 ,0                   ,0                   ,217                 ,0                   ,58                  ,218                 ,360                 ,0                   ,4                   ,0                   ,0                   ,0                   
O95336_PGLS         ,0.724093634230622   ,17                  ,0.269699624390875   ,0                   ,0                   ,0                   ,17                  ,0                   ,0                   ,0                   ,0                   ,104                 ,0                   ,0                   ,0                   ,1336                ,0                   ,0                   ,16                  
P00330_ADH1         ,7.54319274260903e-06,24304               ,0.000612376767377892,3136                ,2744                ,3136                ,3136                ,3136                ,3136                ,2744                ,3136                ,0                   ,7                   ,0                   ,1363                ,1                   ,0                   ,0                   ,39                  
P00338_3_LDHA       ,0.211853460190998   ,389                 ,0.266245948371302   ,162                 ,22                  ,5                   ,98                  ,73                  ,11                  ,11                  ,7                   ,1897                ,0                   ,0                   ,0                   ,4                   ,0                   ,89                  ,101                 
P00352_ALDH1A1      ,0.546492938100689   ,28                  ,0.312686223816409   ,0                   ,6                   ,0                   ,8                   ,0                   ,14                  ,0                   ,0                   ,22                  ,0                   ,0                   ,2                   ,3136                ,4                   ,0                   ,165                 
P00450_CP           ,0.0087100434892767  ,17454               ,0.000681956324259307,1641                ,1039                ,1769                ,2636                ,3136                ,2243                ,1914                ,3076                ,4                   ,0                   ,0                   ,0                   ,9                   ,0                   ,0                   ,0                   
P00489_PYGM         ,1.89010189682236e-05,24304               ,0.000612376767377892,3136                ,2744                ,3136                ,3136                ,3136                ,3136                ,2744                ,3136                ,0                   ,55                  ,0                   ,453                 ,0                   ,12                  ,0                   ,4                   
P00491_PNP          ,0.511381130508106   ,0                   ,0.0324742023051656  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,265                 ,0                   ,0                   ,11                  ,496                 ,48                  ,0                   ,0                   
P00558_PGK1         ,0.0764036354999818  ,3124                ,0.0300874088369119  ,194                 ,256                 ,15                  ,1403                ,311                 ,78                  ,864                 ,3                   ,3136                ,10                  ,0                   ,9                   ,0                   ,0                   ,0                   ,7                   
P00738_HP           ,0.010467683767799   ,17057               ,0.000852233712772263,2859                ,1992                ,3136                ,1625                ,1834                ,3136                ,1299                ,1176                ,198                 ,8                   ,0                   ,144                 ,0                   ,6                   ,0                   ,0                   
P00924_ENO1         ,0.000108069245376481,24304               ,0.000612376767377892,3136                ,2744                ,3136                ,3136                ,3136                ,3136                ,2744                ,3136                ,0                   ,113                 ,0                   ,896                 ,0                   ,66                  ,0                   ,6                   
P01008_SERPINC1     ,0.137567034748479   ,606                 ,0.0496329132677272  ,0                   ,8                   ,61                  ,0                   ,59                  ,104                 ,12                  ,362                 ,18                  ,0                   ,0                   ,13                  ,0                   ,0                   ,0                   ,0                   
P01009_SERPINA1     ,0.0916497333699516  ,3368                ,0.000553534765668591,603                 ,259                 ,148                 ,125                 ,321                 ,324                 ,76                  ,1512                ,40                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
P01023_A2M          ,0.0190801683634692  ,9787                ,0.00953795235813348 ,515                 ,469                 ,2469                ,910                 ,1059                ,3136                ,347                 ,882                 ,2633                ,11                  ,0                   ,40                  ,0                   ,16                  ,0                   ,0                   
P01024_C3           ,0.0139207857642402  ,16284               ,0.000681956324259307,1129                ,1398                ,3136                ,1786                ,2287                ,2437                ,1023                ,3088                ,2                   ,0                   ,0                   ,335                 ,0                   ,0                   ,0                   ,0                   
P01033_TIMP1        ,0.692705989717975   ,1                   ,0.0298406889515169  ,1                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,206                 ,37                  ,0                   ,0                   ,0                   ,28                  ,122                 ,402                 
P01034_CST3         ,0.107008588544922   ,1330                ,0.00596433477076516 ,38                  ,19                  ,217                 ,563                 ,101                 ,7                   ,245                 ,140                 ,0                   ,0                   ,0                   ,0                   ,0                   ,63                  ,47                  ,0                   
P01036_CST4         ,0.00108087901681167 ,24304               ,0.000553534765668591,3136                ,2744                ,3136                ,3136                ,3136                ,3136                ,2744                ,3136                ,191                 ,0                   ,0                   ,93                  ,0                   ,14                  ,0                   ,0                   
P01037_CST1         ,0.0024120690807396  ,23960               ,0.000559233923892187,3136                ,2744                ,3136                ,3136                ,3136                ,3136                ,2400                ,3136                ,72                  ,0                   ,0                   ,33                  ,0                   ,13                  ,0                   ,0                   
P01042_2_KNG1       ,0.0555332078261334  ,5031                ,0.000681956324259307,137                 ,368                 ,560                 ,331                 ,116                 ,1984                ,612                 ,923                 ,0                   ,0                   ,7                   ,96                  ,0                   ,0                   ,0                   ,0                   
P01591_IGJ          ,0.247177432789062   ,396                 ,0.0108255064878353  ,71                  ,8                   ,93                  ,22                  ,150                 ,0                   ,52                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,8                   ,0                   
P01593              ,0.286628618082876   ,551                 ,0.873809642249306   ,4                   ,168                 ,25                  ,9                   ,30                  ,0                   ,309                 ,6                   ,0                   ,0                   ,43                  ,6                   ,1592                ,12                  ,331                 ,0                   
P01598              ,0.0562214486959815  ,4761                ,0.00146733786443442 ,38                  ,659                 ,39                  ,477                 ,921                 ,1622                ,530                 ,475                 ,0                   ,0                   ,0                   ,347                 ,0                   ,0                   ,0                   ,11                  
P01616              ,0.954558491524304   ,2                   ,0.214338459316668   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,262                 ,0                   ,3                   ,0                   ,63                  
P01622              ,0.226360109183163   ,729                 ,0.00469786971505087 ,273                 ,108                 ,205                 ,7                   ,55                  ,7                   ,66                  ,8                   ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,92                  ,5                   
P01623              ,0.170468762178147   ,1587                ,0.0546409547329431  ,369                 ,164                 ,9                   ,0                   ,881                 ,5                   ,151                 ,8                   ,16                  ,0                   ,16                  ,0                   ,0                   ,2                   ,8                   ,0                   
P06314_IGKV4_1      ,0.400145677008307   ,118                 ,0.545232585815683   ,57                  ,23                  ,5                   ,0                   ,1                   ,0                   ,0                   ,32                  ,498                 ,1                   ,0                   ,8                   ,1                   ,0                   ,0                   ,0                   
P01714              ,0.118071783412329   ,609                 ,0.187959068257727   ,93                  ,7                   ,9                   ,185                 ,57                  ,85                  ,36                  ,137                 ,16                  ,0                   ,0                   ,582                 ,5                   ,44                  ,124                 ,0                   
P01717              ,0.269234546868645   ,33                  ,0.118212288779656   ,0                   ,5                   ,0                   ,0                   ,0                   ,28                  ,0                   ,0                   ,0                   ,0                   ,0                   ,122                 ,42                  ,61                  ,11                  ,2                   
P01763              ,0.118107740000829   ,1253                ,0.0485974356945256  ,13                  ,507                 ,28                  ,344                 ,115                 ,222                 ,19                  ,5                   ,240                 ,55                  ,0                   ,22                  ,0                   ,0                   ,0                   ,0                   
P01767              ,0.747510514900667   ,2                   ,1                   ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,30                  ,0                   
P01779              ,0.560688895320726   ,150                 ,0.574872695668895   ,124                 ,0                   ,1                   ,0                   ,12                  ,2                   ,11                  ,0                   ,14                  ,4                   ,0                   ,0                   ,0                   ,53                  ,0                   ,0                   
P04438              ,0.00938441238937517 ,20390               ,0.000898912788114092,2112                ,2744                ,2976                ,2362                ,2928                ,1842                ,2692                ,2734                ,8                   ,0                   ,0                   ,0                   ,8                   ,33                  ,63                  ,4                   
P01833_PIGR         ,0.649743256315518   ,38                  ,0.269699624390875   ,0                   ,0                   ,0                   ,0                   ,38                  ,0                   ,0                   ,0                   ,7                   ,0                   ,0                   ,0                   ,0                   ,0                   ,41                  ,189                 
P01859_IGHG2        ,0.0212499090935345  ,12948               ,0.000785338146016317,349                 ,753                 ,2796                ,1302                ,2461                ,1509                ,1993                ,1785                ,1                   ,0                   ,0                   ,311                 ,0                   ,15                  ,0                   ,0                   
P01861_IGHG4        ,0.240671324306035   ,638                 ,0.325270979974212   ,0                   ,0                   ,16                  ,3                   ,21                  ,506                 ,0                   ,92                  ,0                   ,0                   ,0                   ,1293                ,0                   ,64                  ,0                   ,0                   
P01876_IGHA1        ,0.518990917201195   ,43                  ,0.951839037103228   ,14                  ,0                   ,2                   ,0                   ,0                   ,0                   ,27                  ,0                   ,0                   ,0                   ,0                   ,0                   ,2                   ,1                   ,105                 ,0                   
P01877_IGHA2        ,0.952052013684865   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,13                  ,0                   ,0                   ,0                   ,0                   ,172                 ,0                   ,2                   
