protein,protein frequency
P23280_CA6         ,45                 
P23284_PPIB        ,0                  
P23381_WARS        ,0                  
E9PK25_CFL1        ,7                  
P24158_PRTN3       ,252                
P25311_AZGP1       ,132                
P26038_MSN         ,0                  
P28325_CST5        ,16                 
P29401_2_TKT       ,0                  
P29508_SERPINB3    ,63                 
P30044_PRDX5       ,7                  
P30101_PDIA3       ,0                  
P30740_SERPINB1    ,0                  
P31025_LCN1        ,0                  
P31146_CORO1A      ,3                  
P31151_S100A7      ,252                
P31946_2           ,0                  
P31947_SFN         ,42                 
P31949_S100A11     ,0                  
P32926_DSG3        ,128                
P35321_SPRR1A      ,14                 
P35579_MYH9        ,8                  
P36952_SERPINB5    ,0                  
P37802_2_TAGLN2    ,252                
P37837_TALDO1      ,1                  
P40121_CAPG        ,0                  
B1AK88_CAPZB       ,0                  
P50395_GDI2        ,0                  
P52209_PGD         ,0                  
P52566_ARHGDIB     ,0                  
P52907_CAPZA1      ,7                  
P53634_CTSC        ,52                 
P55058_PLTP        ,78                 
P59665_DEFA1       ,19                 
P59998_3_ARPC4     ,1                  
P60174_TPI1        ,2                  
P61158_ACTR3       ,2                  
P61586_RHOA        ,0                  
P61626_LYZ         ,0                  
P61769_B2M         ,62                 
P62328_TMSB4X      ,189                
P62805_HIST1H4A    ,0                  
P62937_PPIA        ,0                  
P62942_FKBP1A      ,0                  
P63261_ACTG1       ,0                  
P63313_TMSB10      ,0                  
P68032_ACTC1       ,0                  
P68371_TUBB4B      ,0                  
P68871_HBB         ,0                  
P69905_HBA1        ,0                  
P78417_GSTO1       ,0                  
X6R8F3_LCN2        ,42                 
P80748             ,0                  
Q01469_FABP5       ,11                 
Q01518_CAP1        ,4                  
Q02413_DSG1        ,252                
Q02487_DSC2        ,32                 
Q07654_TFF3        ,38                 
Q08188_TGM3        ,17                 
Q08380_LGALS3BP    ,252                
Q14508_WFDC2       ,136                
Q14847_LASP1       ,0                  
Q14974_KPNB1       ,0                  
Q14CN2_CLCA4       ,7                  
H0YBX6_UBE2V2      ,0                  
A0A087WV23_SH3BGRL3,0                  
Q68D86_CCDC102B    ,0                  
Q6P5S2_C6orf58     ,10                 
Q8N4F0_BPIFB2      ,112                
Q8TAX7_MUC7        ,0                  
Q8TDL5_BPIFB1      ,0                  
Q96DA0_ZG16B       ,6                  
Q96DR5_BPIFA2      ,0                  
Q99536_VAT1        ,4                  
Q99879_HIST1H2BM   ,4                  
Q9BQR3_PRSS27      ,40                 
Q9BRA2_TXNDC17     ,120                
Q9BRF8_CPPED1      ,0                  
Q9HC84_MUC5B       ,69                 
Q9HD89_RETN        ,0                  
Q9NQ38_3_SPINK5    ,0                  
Q9UBC9_SPRR3       ,14                 
Q9UBG3_CRNN        ,10                 
Q9UBX7_3_KLK11     ,0                  
Q9UGM3_6_DMBT1     ,8                  
Q9UIV8_SERPINB13   ,3                  
Q9UKR3_KLK13       ,66                 
V9HW75_NUCB2       ,8                  
